"key","en - English","hi - हिन्दी","ta - தமிழ்","te - తెలుగు","kn - ಕನ್ನಡ","ml - മലയാളം","mr - मराठी","bn - বাংলা","gu - ગુજરાતી","pa - ਪੰਜਾਬੀ"
"module.audio_recap","Audio Recap","ऑडियो रीकैप","ஒலி சுருக்கம்","ఆడియో సారాంశం","ಆಡಿಯೋ ಸಾರಾಂಶ","ഓഡിയോ സംഗ്രഹം","ऑडिओ सारांश","অডিও সারাংশ","ઓડિયો સારાંશ","ਆਡੀਓ ਸਾਰ"
"module.match_game","Match Game","मिलान खेल","பொருத்து விளையாட்டு","మ్యాచ్ గేమ్","ಹೊಂದಿಸುವ ಆಟ","പൊരുത്തപ്പെടുത്തൽ ഗെയിം","जोडी खेळ","মিল খেলা","મેળ રમત","ਮੈਚ ਖੇਡ"
"module.curriculum_map","Curriculum Map","पाठ्यक्रम मानचित्र","பாடத்திட்ட வரைபடம்","పాఠ్యప్రణాళిక మ్యాప్","ಪಠ್ಯಕ್ರಮ ನಕ್ಷೆ","പാഠ്യപദ്ധതി മാപ്പ്","अभ्यासक्रम नकाशा","পাঠ্যক্রম মানচিত্র","અભ્યાસક્રમ નકશો","ਪਾਠਕ੍ਰਮ ਨਕਸ਼ਾ"
"module.ask_doubt","Ask Doubt","शंका पूछें","சந்தேகம் கேள்","సందేహం అడగండి","ಸಂದೇಹ ಕೇಳಿ","സംശയം ചോദിക്കുക","शंका विचारा","সন্দেহ জিজ্ঞাসা করুন","શંકા પૂછો","ਸ਼ੰਕਾ ਪੁੱਛੋ"
"module.essay_grader","Essay Grader","निबंध मूल्यांकनकर्ता","கட்டுரை மதிப்பீடு","వ్యాస మదింపు","ಪ್ರಬಂಧ ಮೌಲ್ಯಮಾಪನ","ഉപന്യാസ വിലയിരുത്തൽ","निबंध मूल्यांकन","প্রবন্ধ মূল্যায়ন","નિબંધ મૂલ્યાંકન","ਲੇਖ ਮੁਲਾਂਕਣ"
"module.flashcards","Flashcards","फ्लैशकार्ड","ஃபிளாஷ்கார்டுகள்","ఫ్లాష్‌కార్డ్‌లు","ಫ್ಲಾಶ್‌ಕಾರ್ಡ್‌ಗಳು","ഫ്ലാഷ്കാർഡുകൾ","फ्लॅशकार्ड्स","ফ্ল্যাশকার্ড","ફ્લેશકાર્ડ","ਫਲੈਸ਼ਕਾਰਡ"
"module.notes","Notes","नोट्स","குறிப்புகள்","నోట్స్","ಟಿಪ್ಪಣಿಗಳು","കുറിപ്പുകൾ","नोट्स","নোট","નોંધો","ਨੋਟਸ"
"module.video_studio","Video Studio","वीडियो स्टूडियो","வீடியோ ஸ்டுடியோ","వీడియో స్టూడియో","ವೀಡಿಯೋ ಸ್ಟುಡಿಯೋ","വീഡിയോ സ്റ്റുഡിയോ","व्हिडिओ स्टुडिओ","ভিডিও স্টুডিও","વિડિઓ સ્ટુડિયો","ਵੀਡੀਓ ਸਟੂਡੀਓ"
"task.new_lesson_title","New lesson","नया पाठ","புதிய பாடம்","కొత్త పాఠం","ಹೊಸ ಪಾಠ","പുതിയ പാഠം","नवीन पाठ","নতুন পাঠ","નવો પાઠ","ਨਵਾਂ ਪਾਠ"
"task.new_lesson_sub","Scan textbook → AI video","किताब स्कैन करें → एआई वीडियो","புத்தகத்தை ஸ்கேன் செய்யவும் → AI வீடியோ","పాఠ్యపుస్తకాన్ని స్కాన్ చేయండి → AI వీడియో","ಪಠ್ಯಪುಸ್ತಕ ಸ್ಕ್ಯಾನ್ → AI ವೀಡಿಯೋ","പാഠപുസ്തകം സ്കാൻ ചെയ്യുക → AI വീഡിയോ","पाठ्यपुस्तक स्कॅन करा → AI व्हिडिओ","পাঠ্যবই স্ক্যান → AI ভিডিও","પાઠ્યપુસ્તક સ્કેન → AI વિડિઓ","ਪਾਠ-ਪੁਸਤਕ ਸਕੈਨ → AI ਵੀਡੀਓ"
"task.tutor_title","Ask AI tutor","एआई ट्यूटर से पूछें","AI ஆசிரியரிடம் கேள்","AI ట్యూటర్‌ని అడగండి","AI ಶಿಕ್ಷಕರನ್ನು ಕೇಳಿ","AI അദ്ധ്യാപകനോട് ചോദിക്കുക","AI शिक्षकाला विचारा","AI শিক্ষককে জিজ্ঞাসা করুন","AI શિક્ષકને પૂછો","AI ਅਧਿਆਪਕ ਨੂੰ ਪੁੱਛੋ"
"task.tutor_sub","In your language","अपनी भाषा में","உங்கள் மொழியில்","మీ భాషలో","ನಿಮ್ಮ ಭಾಷೆಯಲ್ಲಿ","നിങ്ങളുടെ ഭാഷയിൽ","तुमच्या भाषेत","আপনার ভাষায়","તમારી ભાષામાં","ਤੁਹਾਡੀ ਭਾਸ਼ਾ ਵਿੱਚ"
"task.flashcards_title","Flashcards","फ्लैशकार्ड","ஃபிளாஷ்கார்டுகள்","ఫ్లాష్‌కార్డ్‌లు","ಫ್ಲಾಶ್‌ಕಾರ್ಡ್‌ಗಳು","ഫ്ലാഷ്കാർഡുകൾ","फ्लॅशकार्ड्स","ফ্ল্যাশকার্ড","ફ્લેશકાર્ડ","ਫਲੈਸ਼ਕਾਰਡ"
"task.flashcards_sub","Due cards waiting","द्वार पर कार्ड हैं","காத்திருக்கும் கார்டுகள்","వేచి ఉన్న కార్డ్‌లు","ಕಾಯುತ್ತಿರುವ ಕಾರ್ಡ್‌ಗಳು","കാത്തിരിക്കുന്ന കാർഡുകൾ","प्रतीक्षेत असलेली कार्डे","অপেক্ষমান কার্ড","રાહ જોતી કાર્ડ્સ","ਉਡੀਕ ਵਿੱਚ ਕਾਰਡ"
"task.goals_title","Set goals","लक्ष्य तय करें","இலக்குகள் அமைக்கவும்","లక్ష్యాలను సెట్ చేయండి","ಗುರಿಗಳನ್ನು ಹೊಂದಿಸಿ","ലക്ഷ്യങ്ങൾ സജ്ജമാക്കുക","उद्दिष्टे ठरवा","লক্ষ্য নির্ধারণ","લક્ષ્ય સેટ કરો","ਟੀਚੇ ਮਿੱਥੋ"
"task.goals_sub","Pick exam & daily target","परीक्षा और दैनिक लक्ष्य चुनें","தேர்வு & தினசரி இலக்கு","పరీక్ష & దైనందిన లక్ష్యం","ಪರೀಕ್ಷೆ & ದೈನಂದಿನ ಗುರಿ","പരീക്ഷ & പ്രതിദിന ലക്ഷ്യം","परीक्षा आणि दैनिक उद्दिष्ट","পরীক্ষা ও দৈনিক লক্ষ্য","પરીક્ષા અને રોજિંદું લક્ષ્ય","ਇਮਤਿਹਾਨ ਅਤੇ ਰੋਜ਼ਾਨਾ ਟੀਚਾ"
"task.progress_title","My progress","मेरी प्रगति","என் முன்னேற்றம்","నా పురోగతి","ನನ್ನ ಪ್ರಗತಿ","എന്റെ പുരോഗതി","माझी प्रगती","আমার অগ্রগতি","મારી પ્રગતિ","ਮੇਰੀ ਤਰੱਕੀ"
"task.progress_sub","Streak · weak topics · mocks","स्ट्रीक · कमज़ोर विषय","தொடர் · பலவீனமான தலைப்புகள் · சோதனைகள்","స్ట్రీక్ · బలహీన అంశాలు · మాక్‌లు","ಸ್ಟ್ರೀಕ್ · ದುರ್ಬಲ ವಿಷಯಗಳು · ಮಾಕ್‌ಗಳು","സ്ട്രീക്ക് · ദുർബല വിഷയങ്ങൾ · മോക്കുകൾ","स्ट्रीक · कमकुवत विषय · मॉक्स","স্ট্রিক · দুর্বল বিষয় · মক","સ્ટ્રીક · નબળા વિષયો · મોક","ਸਟ੍ਰੀਕ · ਕਮਜ਼ੋਰ ਵਿਸ਼ੇ · ਮੌਕ"
"task.upgrade_title","Upgrade","अपग्रेड","மேம்படுத்து","అప్‌గ్రేడ్","ಅಪ್‌ಗ್ರೇಡ್","അപ്‌ഗ്രേഡ്","अपग्रेड","আপগ্রেড","અપગ્રેડ","ਅਪਗ੍ਰੇਡ"
"task.upgrade_sub","₹499 / ₹999 / ₹1,499","₹499 / ₹999 / ₹1,499","₹499 / ₹999 / ₹1,499","₹499 / ₹999 / ₹1,499","₹499 / ₹999 / ₹1,499","₹499 / ₹999 / ₹1,499","₹499 / ₹999 / ₹1,499","₹499 / ₹999 / ₹1,499","₹499 / ₹999 / ₹1,499","₹499 / ₹999 / ₹1,499"
"trust.students_count","50,000+ students","50,000+ छात्र","50,000+ மாணவர்கள்","50,000+ విద్యార్థులు","50,000+ ವಿದ್ಯಾರ್ಥಿಗಳು","50,000+ വിദ്യാർത്ഥികൾ","50,000+ विद्यार्थी","50,000+ শিক্ষার্থী","50,000+ વિદ્યાર્થી","50,000+ ਵਿਦਿਆਰਥੀ"
"trust.students_sub","Across 28 states","28 राज्यों में","28 மாநிலங்களில்","28 రాష్ట్రాలలో","28 ರಾಜ್ಯಗಳಲ್ಲಿ","28 സംസ്ഥാനങ്ങളിൽ","28 राज्यांमध्ये","28 রাজ্যে","28 રાજ્યોમાં","28 ਰਾਜਾਂ ਵਿੱਚ"
"trust.dpdp_title","DPDP compliant","DPDP अनुपालन","DPDP இணக்கம்","DPDP అనుగుణం","DPDP ಅನುಸರಣೆ","DPDP അനുവർത്തനം","DPDP अनुपालन","DPDP সম্মত","DPDP અનુપાલન","DPDP ਅਨੁਪਾਲਨ"
"trust.dpdp_sub","Under-18 safe","18 से कम उम्र के लिए सुरक्षित","18-க்கு கீழ் பாதுகாப்பு","18 ఏళ్ల లోపు సురక్షితం","18 ವರ್ಷದೊಳಗಿನವರಿಗೆ ಸುರಕ್ಷಿತ","18 വയസ്സിന് താഴെ സുരക്ഷിതം","18 वर्षांखालील सुरक्षित","18 বছরের নিচে নিরাপদ","18 વર્ષથી નીચે સુરક્ષિત","18 ਸਾਲ ਤੋਂ ਘੱਟ ਸੁਰੱਖਿਅਤ"
"trust.languages_title","10 languages","10 भाषाएँ","10 மொழிகள்","10 భాషలు","10 ಭಾಷೆಗಳು","10 ഭാഷകൾ","10 भाषा","10 ভাষা","10 ભાષાઓ","10 ਭਾਸ਼ਾਵਾਂ"
"trust.languages_sub","Hindi · Tamil · Bengali +7","हिन्दी · तमिल · बांग्ला +7","தமிழ் · இந்தி · வங்காளம் +7","తెలుగు · హిందీ · బెంగాలీ +7","ಕನ್ನಡ · ಹಿಂದಿ · ಬಂಗಾಳಿ +7","മലയാളം · ഹിന്ദി · ബംഗാളി +7","मराठी · हिंदी · बंगाली +7","বাংলা · হিন্দি · তামিল +7","ગુજરાતી · હિન્દી · મરાઠી +7","ਪੰਜਾਬੀ · ਹਿੰਦੀ · ਬੰਗਾਲੀ +7"
"trust.payments_title","UPI / Razorpay","UPI / Razorpay","UPI / Razorpay","UPI / Razorpay","UPI / Razorpay","UPI / Razorpay","UPI / Razorpay","UPI / Razorpay","UPI / Razorpay","UPI / Razorpay"
"trust.payments_sub","Cancel anytime","कभी भी रद्द करें","எப்போது வேண்டுமானாலும் ரத்து","ఎప్పుడైనా రద్దు చేయండి","ಯಾವಾಗ ಬೇಕಾದರೂ ರದ್ದು","എപ്പോൾ വേണമെങ്കിലും റദ്ദാക്കാം","केव्हाही रद्द करा","যেকোনো সময় বাতিল","ગમે ત્યારે રદ","ਕਦੇ ਵੀ ਰੱਦ ਕਰੋ"
"trust.tagline","India learning OS","भारत का लर्निंग OS","இந்தியா கற்றல் OS","భారత నేర్చుకునే OS","ಭಾರತ ಕಲಿಕೆ OS","ഇന്ത്യ പഠന OS","भारत शिकण्याचे OS","ভারত শেখার OS","ભારત શિક્ષણ OS","ਭਾਰਤ ਸਿੱਖਣ OS"
"trust.signal","Why students trust AI Pathshala","छात्र एआई पाठशाला पर क्यों भरोसा करते हैं","AI பாதஶாலையை மாணவர்கள் ஏன் நம்புகிறார்கள்","విద్యార్థులు AI పాఠశాలను ఎందుకు నమ్ముతారు","ವಿದ್ಯಾರ್ಥಿಗಳು AI ಪಾಠಶಾಲೆಯನ್ನು ಏಕೆ ನಂಬುತ್ತಾರೆ","വിദ്യാർത്ഥികൾ AI പാഠശാലയെ വിശ്വസിക്കുന്നതെന്തുകൊണ്ട്","विद्यार्थी AI पाठशालेवर का विश्वास ठेवतात","শিক্ষার্থীরা AI পাঠশালাকে কেন বিশ্বাস করে","વિદ્યાર્થીઓ AI પાઠશાળા પર શા માટે વિશ્વાસ કરે છે","ਵਿਦਿਆਰਥੀ AI ਪਾਠਸ਼ਾਲਾ ਉੱਤੇ ਕਿਉਂ ਭਰੋਸਾ ਕਰਦੇ ਹਨ"
"support.whatsapp","WhatsApp support","व्हाट्सएप सहायता","வாட்ஸ்அப் ஆதரவு","వాట్సాప్ సహాయం","ವಾಟ್ಸ್ಆ್ಯಪ್ ಬೆಂಬಲ","വാട്ട്സ്ആപ്പ് പിന്തുണ","व्हॉट्सअ‍ॅप सहाय्य","হোয়াটসঅ্যাপ সহায়তা","વોટ્સએપ સહાય","ਵਟਸਐਪ ਸਹਾਇਤਾ"
"support.call","Call support","कॉल सहायता","அழைப்பு ஆதரவு","కాల్ సహాయం","ಕರೆ ಬೆಂಬಲ","കോൾ പിന്തുണ","कॉल सहाय्य","কল সহায়তা","કોલ સહાય","ਕਾਲ ਸਹਾਇਤਾ"
"lang.change","Change language","भाषा बदलें","மொழியை மாற்று","భాష మార్చండి","ಭಾಷೆ ಬದಲಾಯಿಸಿ","ഭാഷ മാറ്റുക","भाषा बदला","ভাষা পরিবর্তন","ભાષા બદલો","ਭਾਸ਼ਾ ਬਦਲੋ"
"hero.loading","Loading your study plan…","आपकी योजना लोड की जा रही है…","உங்கள் திட்டம் ஏற்றப்படுகிறது…","మీ ప్రణాళిక లోడ్ అవుతోంది…","ನಿಮ್ಮ ಯೋಜನೆ ಲೋಡ್ ಆಗುತ್ತಿದೆ…","നിങ്ങളുടെ പദ്ധതി ലോഡ് ചെയ്യുന്നു…","तुमची योजना लोड होत आहे…","আপনার পরিকল্পনা লোড হচ্ছে…","તમારી યોજના લોડ થઈ રહી છે…","ਤੁਹਾਡੀ ਯੋਜਨਾ ਲੋਡ ਹੋ ਰਹੀ ਹੈ…"
"hero.sub","Personalised based on readiness, weak topics, and recent mocks.","आपकी तैयारी और कमज़ोर विषयों के आधार पर व्यक्तिगत.","உங்கள் தயாரிப்பு & பலவீன தலைப்புகளின் அடிப்படையில் தனிப்பயனாக்கப்பட்டது.","మీ సన్నద్ధత & బలహీన అంశాల ఆధారంగా వ్యక్తిగతీకరించబడింది.","ನಿಮ್ಮ ಸಿದ್ಧತೆ & ದುರ್ಬಲ ವಿಷಯಗಳ ಆಧಾರದ ಮೇಲೆ ವೈಯಕ್ತೀಕರಿಸಲಾಗಿದೆ.","നിങ്ങളുടെ തയ്യാറെടുപ്പും ദുർബല വിഷയങ്ങളും അടിസ്ഥാനമാക്കി വ്യക്തിഗതമാക്കിയത്.","तुमची तयारी आणि कमकुवत विषयांच्या आधारे वैयक्तिकृत.","আপনার প্রস্তুতি ও দুর্বল বিষয়ের ভিত্তিতে ব্যক্তিগতকৃত.","તમારી તૈયારી અને નબળા વિષયોના આધારે વ્યક્તિગત.","ਤੁਹਾਡੀ ਤਿਆਰੀ ਅਤੇ ਕਮਜ਼ੋਰ ਵਿਸ਼ਿਆਂ ਦੇ ਆਧਾਰ ਉੱਤੇ ਨਿਜੀਕਰਣ."
"cta.start","Start studying","पढ़ाई शुरू करें","படிக்க தொடங்கு","చదవడం ప్రారంభించండి","ಅಧ್ಯಯನ ಪ್ರಾರಂಭಿಸಿ","പഠിക്കാൻ ആരംഭിക്കുക","अभ्यास सुरू करा","পড়া শুরু করুন","ભણવાનું શરૂ કરો","ਪੜ੍ਹਾਈ ਸ਼ੁਰੂ ਕਰੋ"
"cta.get_started","Get started","शुरू करें","தொடங்கு","ప్రారంభించండి","ಪ್ರಾರಂಭಿಸಿ","ആരംഭിക്കുക","सुरुवात करा","শুরু করুন","શરૂ કરો","ਸ਼ੁਰੂ ਕਰੋ"
"cta.explore","Explore plans","प्लान देखें","திட்டங்களைப் பார்","ప్లాన్‌లు చూడండి","ಯೋಜನೆಗಳನ್ನು ಅನ್ವೇಷಿಸಿ","പ്ലാനുകൾ കാണുക","योजना पहा","প্ল্যান দেখুন","પ્લાન જુઓ","ਪਲਾਨ ਦੇਖੋ"
"cta.create_account","Create account","खाता बनाएँ","கணக்கை உருவாக்கவும்","ఖాతా సృష్టించండి","ಖಾತೆ ರಚಿಸಿ","അക്കൗണ്ട് സൃഷ്ടിക്കുക","खाते तयार करा","অ্যাকাউন্ট তৈরি করুন","ખાતું બનાવો","ਖਾਤਾ ਬਣਾਓ"
"cta.continue","Continue","जारी रखें","தொடரவும்","కొనసాగించండి","ಮುಂದುವರಿಸಿ","തുടരുക","सुरू ठेवा","চালিয়ে যান","ચાલુ રાખો","ਜਾਰੀ ਰੱਖੋ"
"cta.next","Next","अगला","அடுத்து","తదుపరి","ಮುಂದೆ","അടുത്തത്","पुढे","পরবর্তী","આગળ","ਅਗਲਾ"
"cta.back","Back","वापस","பின்","వెనుకకు","ಹಿಂದೆ","പിന്നോട്ട്","मागे","পিছনে","પાછળ","ਵਾਪਸ"
"cta.cancel","Cancel","रद्द करें","ரத்து செய்","రద్దు చేయండి","ರದ್ದುಗೊಳಿಸಿ","റദ്ദാക്കുക","रद्द करा","বাতিল করুন","રદ કરો","ਰੱਦ ਕਰੋ"
"cta.save","Save","सहेजें","சேமி","సేవ్ చేయండి","ಉಳಿಸಿ","സംരക്ഷിക്കുക","जतन करा","সংরক্ষণ করুন","સાચવો","ਸੰਭਾਲੋ"
"cta.submit","Submit","जमा करें","சமர்ப்பி","సమర్పించు","ಸಲ್ಲಿಸಿ","സമർപ്പിക്കുക","सबमिट करा","জমা দিন","સબમિટ","ਜਮ੍ਹਾਂ ਕਰੋ"
"cta.delete","Delete","हटाएँ","நீக்கு","తొలగించు","ಅಳಿಸಿ","ഇല്ലാതാക്കുക","हटवा","মুছুন","ડિલીટ","ਮਿਟਾਓ"
"cta.edit","Edit","संपादित करें","திருத்து","సవరించు","ಸಂಪಾದಿಸಿ","എഡിറ്റ്","संपादित करा","সম্পাদনা করুন","સંપાદિત કરો","ਸੰਪਾਦਿਤ ਕਰੋ"
"cta.upload","Upload","अपलोड करें","பதிவேற்று","అప్‌లోడ్ చేయండి","ಅಪ್‌ಲೋಡ್","അപ്‌ലോഡ് ചെയ്യുക","अपलोड करा","আপলোড করুন","અપલોડ","ਅੱਪਲੋਡ"
"cta.download","Download","डाउनलोड करें","பதிவிறக்கு","డౌన్‌లోడ్","ಡೌನ್‌ಲೋಡ್","ഡൗൺലോഡ്","डाउनलोड","ডাউনলোড","ડાઉનલોડ","ਡਾਊਨਲੋਡ"
"cta.tap_to_speak","Tap to speak","बोलने के लिए टैप करें","பேசுவதற்கு தட்டவும்","మాట్లాడేందుకు నొక్కండి","ಮಾತನಾಡಲು ಟ್ಯಾಪ್ ಮಾಡಿ","സംസാരിക്കാൻ ടാപ്പ് ചെയ്യുക","बोलण्यासाठी टॅप करा","কথা বলতে ট্যাপ করুন","બોલવા ટેપ કરો","ਬੋਲਣ ਲਈ ਟੈਪ ਕਰੋ"
"form.your_name","Your name","आपका नाम","உங்கள் பெயர்","మీ పేరు","ನಿಮ್ಮ ಹೆಸರು","നിങ്ങളുടെ പേര്","तुमचे नाव","আপনার নাম","તમારું નામ","ਤੁਹਾਡਾ ਨਾਮ"
"form.your_email","Your email","आपका ईमेल","உங்கள் மின்னஞ்சல்","మీ ఇమెయిల్","ನಿಮ್ಮ ಇಮೇಲ್","നിങ്ങളുടെ ഇമെയിൽ","तुमचा ईमेल","আপনার ইমেইল","તમારો ઇમેઇલ","ਤੁਹਾਡਾ ਈਮੇਲ"
"form.your_password","Your password","आपका पासवर्ड","உங்கள் கடவுச்சொல்","మీ పాస్‌వర్డ్","ನಿಮ್ಮ ಪಾಸ್‌ವರ್ಡ್","നിങ്ങളുടെ പാസ്‌വേഡ്","तुमचा पासवर्ड","আপনার পাসওয়ার্ড","તમારો પાસવર્ડ","ਤੁਹਾਡਾ ਪਾਸਵਰਡ"
